的	〔白勹丶丶_rqyy〕
却	〔土厶卩丨_fcbh〕
除	〔阝木丶_bwsy〕
号	〔口一ㄅ巜_kgnb〕
住	〔亻丶王一_wygg〕
格	〔木夂口一_stkg〕
参	〔厶大彡𰀪_cder〕
满	〔氵艹一人_iagw〕
始	〔女厶口一_vckg〕
般	〔丿几又_tuwc〕
包	〔勹巳巛_qnv〕
识	〔讠口八丶_ykwy〕
专	〔二ㄅ丶氵_fnyi〕
京	〔小⺀_yiu〕
照	〔日刀口灬_jvko〕
车	〔车一ㄥ丨_lgnh〕
按	〔扌宀女一_rpvg〕
选	〔⺧儿辶巛_eqpv〕
火	〔火火火火_oooo〕
易	〔日勹𰀪𰀪_jqrr〕
厂	〔厂一丿_dgt〕
听	〔口斤丨_krh〕
该	〔讠亠亥丶_yyny〕
红	〔纟工一_xag〕
属	〔尸丿口⽱_ntkm〕
维	〔纟亻一_xwyg〕
县	〔月一厶⺀_egcu〕
严	〔一业丿彡_gote〕
派	〔氵𠂆丶_irey〕
局	〔尸𠃌口三_nnkd〕
讲	〔讠二丨_yfjh〕
呢	〔口尸匕𡿨_knxn〕
继	〔纟米ㄥ𡿨_xonn〕
首	〔䒑丿目二_uthf〕
片	〔丿丨一𠃍_thgn〕
构	〔木勹厶丶_sqcy〕
女	〔女女女女_vvvv〕
德	〔彳十罒心_tfln〕
死	〔一夕匕巛_gqxv〕
效	〔六乂攵丶_urty〕
谈	〔讠火火丶_yooy〕
失	〔人氵_rwi〕
神	〔礻日丨丨_pjhh〕
望	〔亠ㄥ月王_yneg〕
价	〔亻人丨_wwjh〕
铁	〔钅人丶_qrwy〕
酸	〔西一厶夂_sgct〕
底	〔广𫠠丶_oqay〕
黄	〔龷冂土八_amfw〕
随	〔阝𠂇月辶_bdep〕
苏	〔艹力八⺀_aewu〕
引	〔弓丨丨_xhh〕
推	〔扌亻一_rwyg〕
艺	〔艹乙巜_anb〕
尔	〔⺈小⺀_qiu〕
官	〔宀丨㠯二_phnf〕
适	〔丿古辶三_tdpd〕
批	〔扌⼔𡿨_rxxn〕
英	〔艹冂大⺀_amdu〕
告	〔⺧口二_ekf〕
席	〔广廿冂丨_oamh〕
举	〔八𰀁〢_iwgj〕
李	〔木子二_sbf〕
师	〔一冂丨_jgmh〕
势	〔扌丸力𰀪_rver〕
细	〔纟田一_xlg〕
帮	〔阝冂丨_dbmh〕
显	〔日业二_jof〕
项	〔工丆贝丶_admy〕
状	〔犭犬丶_edy〕
字	〔宀子二_pbf〕
育	〔亠厶月二_ycef〕
层	〔尸二厶巛_nfcv〕
破	〔石皮丶_dby〕
落	〔艹氵夂口_aitk〕
怎	〔𠂉丨二心_thfn〕
营	〔艹冖口口_apkk〕
远	〔二儿辶巛_fqpv〕
士	〔十一三_fgd〕
台	〔厶口二_ckf〕
企	〔人止二_whf〕
爱	〔爫冖𠂇又_epdc〕
言	〔言言言言_yyyy〕
河	〔氵丁口一_iskg〕
配	〔西一己𡿨_sgnn〕
围	〔囗韦〣_lhk〕
型	〔一廾刂土_gajf〕
服	〔月ㄗ又丶_ebcy〕
朝	〔十早月一_fjeg〕
轻	〔工一_lcag〕
紧	〔〢又幺小_jcxi〕
武	〔一𫠠止丶_gahy〕
仅	〔亻又丶_wcy〕
另	〔口力𰀪_ker〕
章	〔立早〢_ujj〕
亚	〔一业三_god〕
视	〔礻冂𡿨_pmqn〕
封	〔土土寸丶_fffy〕
密	〔宀心丿山_pntm〕
注	〔氵丶王一_iygg〕
材	〔木十丿丿_sftt〕
案	〔宀女木⺀_pvsu〕
供	〔亻龷八丶_wawy〕
止	〔⺊丨一三_hhgd〕
木	〔木木木木_ssss〕
续	〔纟卖⺀大_xfud〕
早	〔早丨𠃍丨_jhnh〕
防	〔阝方丿_byt〕
护	〔扌户丿_rot〕
判	〔刂丨_ujh〕
态	〔大丶心⺀_dynu〕
司	〔司口三_nkd〕
固	〔囗古三_ldd〕
似	〔亻ㄥ丶人_wnyw〕
罪	〔罒丨三二_lhdf〕
黑	〔土灬⺀_lfou〕
充	〔亠厶儿巜_ycqb〕
兴	〔八⺀_iwu〕
某	〔卄二木⺀_afsu〕
树	〔木又寸丶_scfy〕
击	〔𰀁凵〣_gbk〕
致	〔一至攵丶_gcty〕
圆	〔囗口贝氵_lkmi〕
液	〔氵亠亻丶_iywy〕
音	〔立日二_ujf〕
坚	〔〢又土二_jcff〕
足	〔口龰⺀_khu〕
负	〔⺈贝⺀_qmu〕
害	〔宀丰口二_pdkf〕
含	〔人𪜊口二_wnkf〕
余	〔木⺀_wsu〕
夫	〔二人氵_fwi〕
排	〔扌丨三一_rhdg〕
费	〔弓贝⺀_xjmu〕
源	〔氵厂白小_idri〕
觉	〔𰃮冂巜_imqb〕
范	〔艹氵⺋巜_aibb〕
左	〔𠂇工二_daf〕
够	〔勹口夕夕_qkqq〕
差	〔䒑工二_ugaf〕
城	〔土戊𠃌丶_fdny〕
春	〔三人日二_dwjf〕
食	〔人丶艮⺀_wyvu〕
兵	〔一八⺀_rgwu〕
施	〔方𠂉也𡿨_ytbn〕
富	〔宀一口田_pgkl〕
均	〔土勹冫一_fqug〕
置	〔罒十二_lfhf〕
减	〔冫戊一丶_udgy〕
故	〔古攵丶_dty〕
虽	〔口虫⺀_kju〕
曾	〔丷日二_uljf〕
占	〔⺊口二_hkf〕
送	〔䒑大辶氵_udpi〕
笑	〔𥫗丿大⺀_ttdu〕
试	〔讠𫠠工丶_yaay〕
职	〔耳口八丶_bkwy〕
氧	〔⺄䒑𰀁_rnug〕
阳	〔阝日一_bjg〕
汉	〔氵又丶_icy〕
留	〔刀田二_qvlf〕
跟	〔𧾷艮丶_lvy〕
修	〔亻丨夂彡_whte〕
巴	〔巴𠃍丨乚_cnhn〕
创	〔人⺋刂丨_wbjh〕
助	〔月一力丿_eget〕
未	〔二小氵_fii〕
犯	〔犭㔾𡿨_ebn〕
初	〔衤刀丿_pvt〕
功	〔工力丿_aet〕
抗	〔扌亠几𡿨_rywn〕
田	〔田田田田_llll〕
坏	〔土丆卜丶_fdhy〕
降	〔阝夂匸丨_btah〕
古	〔十口二_fkf〕
尽	〔尸丶⺀⺀_nyuu〕
互	〔一彑三_gxd〕
财	〔贝十丿丿_mftt〕
溶	〔氵人口_ipwk〕
病	〔疒一冂人_ugmw〕
叶	〔口十丨_kfh〕
投	〔扌几又丶_rwcy〕
策	〔𥫗木冂⺀_tsmu〕
责	〔龶贝⺀_gmu〕
波	〔氵皮丶_iby〕
令	〔人⺀_wpu〕
独	〔犭虫丶_ejy〕
考	〔⺹一ㄅ巜_fgnb〕
右	〔𠂇口二_dkf〕
请	〔讠龶月一_ygeg〕
球	〔王一氺丶_ggiy〕
让	〔讠上一_yhg〕
副	〔一口田刂_gklj〕
双	〔又又丶_ccy〕
检	〔木一_swig〕
宜	〔宀月一二_pegf〕
杂	〔九木⺀_vsu〕
钱	〔钅二丶_qfxy〕
述	〔木丶辶氵_sypi〕
限	〔阝艮丶_bvy〕
简	〔𥫗门日二_tujf〕
找	〔扌戈丶_ray〕
冲	〔冫口丨丨_ukhh〕
端	〔立山丆⺵_umdm〕
输	〔刖丨_lweh〕
倒	〔亻一至刂_wgcj〕
养	〔䒑二人_ufwj〕
敌	〔丿古攵丶_tdty〕
阿	〔阝丁口一_bskg〕
超	〔走刀口三_hvkd〕
换	〔扌⺈冂大_rqmd〕
州	〔丶丿丶丨_ytyh〕
胜	〔月生一_etg〕
帝	〔冖冂丨_upmh〕
依	〔亻亠𧘇丶_wyey〕
坐	〔人人土三_wwfd〕
纪	〔纟己𡿨_xnn〕
突	〔犬⺀_pdu〕
念	〔人𪜊心⺀_wnnu〕
客	〔宀夂口二_ptkf〕
绝	〔纟⺈巴𡿨_xqcn〕
升	〔丿廾〣_tak〕
陈	〔阝小丶_baiy〕
略	〔田夂口一_ltkg〕
益	〔䒑八皿二_uwlf〕
否	〔丆卜口二_dhkf〕
罗	〔罒夕⺀_lqu〕
仍	〔亻乃丿_wbt〕
吸	〔口乃丶丶_kbyy〕
苦	〔艹古二_adf〕
错	〔钅龷日一_qajg〕
承	〔了三氵_bdii〕
友	〔𠂇又⺀_dcu〕
草	〔艹早〢_ajj〕
夜	〔亠亻夂丶_ywty〕
微	〔彳几攵_tmwt〕
优	〔亻𠂇乚丶_wdny〕
画	〔一田凵〢_glbj〕
础	〔石凵山丨_dbmh〕
协	〔十力八丶_fewy〕
良	〔丶艮氵_yvi〕
射	〔身寸丶_rfy〕
曲	〔冂龷三_mad〕
洋	〔氵䒑𰀁丨_iugh〕
村	〔木寸丶_sfy〕
矿	〔石广丿_dot〕
终	〔纟夂⺀丶_xtuy〕
轮	〔人匕𡿨_lwxn〕
块	〔土人丶_fnwy〕
环	〔王丆卜丶_gdhy〕
析	〔木斤丨_srh〕
径	〔彳工一_tcag〕
哪	〔口𠃌阝_kngb〕
烈	〔一夕刂灬_gqjo〕
校	〔木六乂丶_sury〕
板	〔木𠂆又丶_srcy〕
云	〔二厶⺀_fcu〕
诉	〔讠斤丶丶_yryy〕
既	〔匸𡿨_vaqn〕
迅	〔⺄十辶〣_nfpk〕
刻	〔亠亥刂丨_ynjh〕
靠	〔⺧口丨三_ekhd〕
察	〔宀二小_pwfi〕
逐	〔一𧰨辶氵_gepi〕
央	〔冂大氵_mdi〕
待	〔彳土寸丶_tffy〕
母	〔母母母母_xxxx〕
境	〔土立日儿_fujq〕
激	〔氵敫攵丶_irty〕
渤	〔氵子力_ifbe〕
模	〔木艹日大_sajd〕
控	〔扌工一_rpag〕
卫	〔卩一三_bgd〕
久	〔𠂊丶氵_qyi〕
印	〔一卩丨_qgbh〕
房	〔户方彡_oye〕
停	〔亻冖丁_wyps〕
甚	〔八ㄥ巜_dwnb〕
皮	〔又氵_hci〕
洲	〔氵州丨_iih〕
搞	〔扌冂口_rymk〕
息	〔丿目心⺀_thnu〕
移	〔禾夕夕丶_tqqy〕
旧	〔丨日一_hjg〕
拿	〔口手〢_wkrj〕
若	〔艹𠂇口二_adkf〕
顶	〔丁丆贝丶_sdmy〕
短	〔𠂉大一豆_tdgl〕
湖	〔氵古月一_ideg〕
括	〔扌丿古一_rtdg〕
挥	〔扌冖车丨_rplh〕
侵	〔亻彐冖又_wvpc〕
甲	〔甲丨𠃍丨_lhnh〕
游	〔氵方𠂉子_iytb〕
语	〔讠五口一_ygkg〕
冷	〔冫人丶_uwpy〕
普	〔䒑业日二_uojf〕
银	〔钅艮丶_qvy〕
乐	〔丿㇄小氵_tnii〕
医	〔匚𠂉大氵_atdi〕
烧	〔火𫠠丿兀_oatg〕
刘	〔文刂丨_yjh〕
吗	〔口马一_kcg〕
针	〔钅十丨_qfh〕
纸	〔纟𫠠𡿨_xqan〕
粉	〔米八刀丿_owvt〕
散	〔龷月攵丶_aety〕
急	〔⺈彐心⺀_qvnu〕
预	〔予丆贝丶_cdmy〕
扩	〔扌广丿_rot〕
愿	〔厂白小心_drin〕
核	〔木亠亥丶_syny〕
吧	〔口巴𡿨_kcn〕
龙	〔𠂇𠤎丶氵_dxyi〕
误	〔讠口一大_ykgd〕
欢	〔又⺈人丶_cqwy〕
孩	〔子亠亥丶_byny〕
盐	〔土卜皿二_fhlf〕
善	〔䒑𰀁䒑口_uguk〕
雨	〔一冂丨⺀_gmhu〕
货	〔亻𠤎贝⺀_wxmu〕
讨	〔讠寸丶_yfy〕
测	〔氵贝刂丨_imjh〕
丝	〔一二_xxgf〕
室	〔宀一至二_pgcf〕
混	〔氵日匕_ijxx〕
弹	〔弓丷丨_xulh〕
乎	〔丿丷十〣_tufk〕
鲜	〔一䒑𰀁_qgug〕
晚	〔日⺈口_jqkq〕
乱	〔丿古乚𡿨_tdnn〕
沙	〔氵少丿_iit〕
序	〔广予〣_ock〕
缺	〔山人_rmnw〕
获	〔艹犭犬⺀_aedu〕
读	〔讠卖⺀大_yfud〕
鲁	〔一日二_qgjf〕
载	〔十戈氵_fali〕
渐	〔氵斤丨_ilrh〕
父	〔八乂⺀_wru〕
啊	〔口阝丁口_kbsk〕
演	〔氵宀一八_ipgw〕
刚	〔冂乂刂丨_mrjh〕
守	〔宀寸⺀_pfu〕
宁	〔宀丁〢_psj〕
杀	〔乂木⺀_rsu〕
谓	〔讠田月一_yleg〕
刑	〔一廾刂丨_gajh〕
